enquiry_id,age,profession,annual_income_lpa,current_locality,workplace_area,family_size,config_interested,budget_min_lakh,budget_max_lakh,purpose,buyer_status,financing,loan_preapproved,timeline,enquiry_source,brochure_downloads,site_visits_other_projects,preferred_contact,vastu_important,key_requirement
ENQ0001,29,IT Professional,26,Marathahalli,ITPL,3,3 BHK,135,145,Self Use,Upgrading from 1BHK,Home Loan,Yes,Just exploring,Google Search,2,0,WhatsApp,Yes,Pet friendly
ENQ0002,29,Government Employee,15,Marathahalli,EPIP Whitefield,2,3 BHK,75,85,Self Use,Upgrading from 2BHK,Home Loan + Savings,Yes,Within 1 month,Facebook Ad,4,1,WhatsApp,No,Close to office
ENQ0003,47,Government Employee,9,Outside Bengaluru,Marathahalli ORR,3,2 BHK,70,90,Self Use,First Home,Mostly Savings,Yes,3-6 months,Google Search,4,2,Email,No,East facing unit
ENQ0004,30,Government Employee,7,KR Puram,Work From Home,2,2 BHK,70,80,Investment,Upgrading from 2BHK,Mostly Savings,No,1-3 months,Walk-in,5,3,Phone Call,No,Close to office
ENQ0005,43,Marketing/Sales Professional,18,Outside Bengaluru,Outside Bengaluru,5,2 BHK,90,100,Self Use,Upgrading from 1BHK,Home Loan + Savings,Yes,3-6 months,Facebook Ad,2,2,Phone Call,No,Large clubhouse
ENQ0006,32,Bank Employee,18,KR Puram,CBD,3,3 BHK,80,95,Self Use + Investment,Adding Second Property,Mostly Savings,Yes,3-6 months,Google Search,3,0,Phone Call,Yes,Large clubhouse
ENQ0007,29,IT Professional,14,Hoodi,ITPL,2,2 BHK,70,80,Self Use,Upgrading from 1BHK,Home Loan + Savings,No,Just exploring,Walk-in,2,0,Email,No,Big balcony
ENQ0008,40,IT Professional,26,Whitefield,ITPL,3,3 BHK,125,140,Self Use,First Home,Home Loan + Savings,Yes,1-3 months,Facebook Ad,2,3,Email,No,Close to office
ENQ0009,47,NRI (Software),32,Marathahalli,ITPL,2,3 BHK,140,155,Self Use + Investment,Relocating to Bengaluru,Home Loan + Savings,No,Just exploring,Property Portal,0,2,Phone Call,No,Ready to move preferred
ENQ0010,33,Teacher/Professor,15,Mahadevapura,Marathahalli ORR,2,2 BHK,70,90,Investment,First Home,Home Loan,Yes,6-12 months,Referral,3,0,WhatsApp,No,Pet friendly
ENQ0011,39,IT Professional,16,KR Puram,Work From Home,1,2 BHK,85,100,For Parents,Adding Second Property,Home Loan + Savings,Yes,1-3 months,Instagram Ad,4,4,WhatsApp,No,High floor with view
ENQ0012,39,Marketing/Sales Professional,7,Kadugodi,CBD,1,2 BHK,70,80,Self Use,Upgrading from 2BHK,Mostly Savings,Yes,3-6 months,Instagram Ad,4,1,Phone Call,No,Ready to move preferred
ENQ0013,41,NRI (Software),45,Mahadevapura,ITPL,2,3 BHK,155,175,Self Use,First Home,Home Loan,No,3-6 months,Referral,2,1,Phone Call,No,Ready to move preferred
ENQ0014,39,Business Owner,25,Brookefield,EPIP Whitefield,4,3 BHK,125,135,For Parents,First Home,Mostly Savings,Yes,Within 1 month,Property Portal,4,0,Phone Call,Yes,Gated community safety
